,University Admission year,Gender,Age,H.S.C passing year,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?
301,2022,Female,21,2020,2,Yes,Yes,2,1,Offline,Yes,Yes,3,Intermediate,98,No,No,Yes,Programming,1,Software,Single,No,Family,No,9.25,No,9.25,12,120000
302,2022,Male,21,2020,2,Yes,Yes,9,2,Offline,Yes,Yes,6,Intermediate,70,Yes,No,Yes,Programming,4,Software,Single,Yes,Family,No,10.0,No,10.0,12,30000
303,2021,Male,19,2020,3,Yes,Yes,1,1,Offline,Yes,Yes,2,Intermediate,85,No,No,Yes,Programming,1,Software,Single,Yes,Bachelor,No,7.95,No,8.625,23,62488
304,2021,Female,19,2020,3,Yes,Yes,2,2,Offline,Yes,Yes,3,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,9.025,No,9.350000000000001,25,40000
305,2021,Male,22,2017,3,Yes,No,2,1,Online,Yes,Yes,0,Intermediate,70,No,No,No,Programming,1,Software,Single,No,Family,No,7.5249999999999995,No,8.05,23,70000
306,2021,Female,21,2020,3,No,Yes,2,2,Offline,Yes,Yes,5,Basic,80,No,No,No,Programming,2,Software,Single,No,Family,Yes,8.149999999999999,No,8.4,23,40000
307,2016,Male,25,2016,19,Yes,No,1,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,9.0,No,9.3,130,300000
308,2021,Male,20,2019,3,No,No,2,3,Offline,Yes,Yes,5,Basic,100,No,No,No,Programming,3,Artificial Intelligence,Single,No,Bachelor,Yes,7.800000000000001,No,7.5249999999999995,23,50000
309,2022,Female,20,2020,1,Yes,No,4,3,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Software Development,2,Software,Single,Yes,Bachelor,No,9.825000000000001,No,9.825000000000001,11,50000
310,2021,Male,20,2020,3,Yes,No,5,3,Online,Yes,Yes,6,Advance,95,Yes,No,No,Programming,1,Software,Single,Yes,Bachelor,No,7.5,No,8.875,23,150000
311,2019,Male,24,2018,9,No,No,1,2,Online,Yes,Yes,3,Basic,70,Yes,No,Yes,Web development,1,Hardware,Single,Yes,Family,No,4.025,No,6.1,40,25000
312,2020,Male,22,2018,6,Yes,Yes,1,1,Online,Yes,Yes,3,Basic,80,No,No,No,Web development,1,Software,Single,No,Family,No,6.975,No,7.875,50,40000
313,2021,Female,22,2020,4,No,No,2,1,Offline,Yes,No,3,Intermediate,98,No,No,No,Programming,2,Software,Single,No,Bachelor,No,9.575,No,8.5,25,40000
314,2018,Male,26,2018,12,Yes,Yes,3,1,Online,Yes,Yes,2,Advance,100,No,No,Yes,Web development,3,Hardware,Single,No,Family,No,8.95,No,8.175,130,62488
315,2021,Female,21,2020,3,Yes,Yes,3,1,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Web development,2,NETWORKING,Single,No,Family,No,8.475,No,7.975,25,70000
316,2021,Male,20,2020,3,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,No,Bachelor,No,8.45,No,8.425,23,25000
317,2021,Female,19,2020,3,Yes,No,3,3,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Web development,2,Data Science,Single,No,Bachelor,Yes,7.574999999999999,No,7.875,23,30000
318,2022,Male,20,2020,1,No,No,3,1,Offline,No,Yes,1,Intermediate,100,No,No,Yes,None,1,Cyber Security,Married,Yes,Family,No,0.0,No,0.0,0,40000
319,2021,Male,21,2020,3,Yes,Yes,1,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,9.125,No,9.25,30,40000
320,2019,Female,22,2019,9,No,Yes,3,1,Offline,Yes,Yes,2,Intermediate,80,No,No,Yes,Web development,1,Hardware,Single,No,Family,Yes,7.95,No,6.725,90,30000
321,2022,Male,21,2020,2,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,9.45,No,7.875,90,30000
322,2020,Male,24,2017,8,Yes,Yes,1,1,Offline,Yes,Yes,4,Intermediate,70,No,No,No,Programming,3,Machine Learning,Relationship,Yes,Family,No,6.4,No,8.45,90,30000
323,2021,Male,20,2020,3,Yes,No,2,2,Offline,No,Yes,12,Basic,90,No,No,No,None,0,Software,Single,No,Family,Yes,7.35,No,7.75,24,45000
324,2021,Female,19,2020,3,No,No,3,2,Offline,Yes,Yes,4,Intermediate,77,Yes,No,Yes,Programming,3,Software,Single,No,Family,No,5.8999999999999995,No,7.199999999999999,23,80000
325,2022,Male,21,2021,2,Yes,No,3,2,Online,Yes,No,5,Intermediate,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,9.5,No,9.5,11,30000
326,2021,Male,22,2020,3,Yes,No,0,0,Offline,Yes,Yes,15,Basic,80,Yes,No,No,Programming,0,Software,Single,No,Bachelor,No,3.825,No,6.075,23,30000
327,2020,Female,21,2019,7,No,Yes,2,2,Online,Yes,Yes,5,Intermediate,80,No,No,Yes,Web development,3,UI/UX,Relationship,No,Family,No,7.5,No,7.275,90,35000
328,2021,Female,20,2020,3,No,Yes,2,1,Offline,Yes,No,5,Basic,80,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,5.8,No,6.65,23,40000
329,2022,Male,21,2022,1,Yes,Yes,6,2,Online,Yes,Yes,4,Intermediate,90,Yes,No,Yes,Cyber security,1,Software,Single,No,Bachelor,Yes,0.0,Yes,0.0,11,62488
330,2021,Female,21,2019,3,Yes,No,3,0,Offline,Yes,Yes,12,Advance,50,No,No,Yes,None,0,NETWORKING,Relationship,Yes,Family,Yes,8.425,No,7.875,23,62488
331,2021,Female,22,2020,3,Yes,No,2,1,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Web development,1,Machine Learning,Single,Yes,Bachelor,Yes,7.2250000000000005,No,8.425,24,50000
332,2021,Female,21,2019,3,Yes,Yes,2,3,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,2,Software,Single,No,Family,No,7.925,No,7.875,24,40000
333,2021,Female,20,2020,3,Yes,Yes,2,2,Offline,Yes,Yes,5,Basic,100,Yes,No,No,Programming,1,Software,Single,No,Family,Yes,5.6499999999999995,No,5.775,20,35000
334,2022,Female,21,2020,2,Yes,No,5,2,Offline,Yes,Yes,2,Basic,99,No,No,No,Programming,1,Software,Single,No,Bachelor,No,9.125,No,9.125,12,35000
335,2021,Female,22,2019,3,Yes,Yes,2,1,Offline,Yes,Yes,1,Intermediate,96,No,No,Yes,Programming,1,Machine Learning,Single,No,Family,No,7.574999999999999,No,7.55,25,49000
336,2020,Male,22,2018,7,Yes,Yes,2,1,Offline,Yes,Yes,4,Basic,80,No,No,Yes,Web development,0,Software,Single,No,Bachelor,Yes,9.825000000000001,No,8.6,53,15000
337,2019,Female,22,2018,9,No,Yes,4,3,Offline,Yes,Yes,2,Advance,80,No,No,Yes,Programming,2,Data Science,Single,Yes,Family,No,7.5,No,7.725,105,2000000
338,2022,Female,20,2021,1,Yes,Yes,2,1,Offline,Yes,Yes,3,Basic,98,No,No,Yes,Programming,0,Software,Single,No,Family,No,0.0,No,0.0,0,62488
339,2022,Male,20,2020,2,Yes,Yes,8,4,Offline,Yes,Yes,2,Basic,88,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,8.625,No,8.625,11,30000
340,2021,Female,21,2020,3,Yes,Yes,3,4,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,7.35,No,7.574999999999999,23,62488
341,2021,Male,21,2019,3,Yes,Yes,8,2,Offline,Yes,Yes,1,Intermediate,100,No,No,No,Programming,4,Software,Relationship,Yes,Family,No,9.825000000000001,No,9.875,25,50000
342,2021,Male,21,2019,3,Yes,Yes,1,1,Online,Yes,Yes,2,Intermediate,85,No,No,No,Programming,2,Data Science,Single,Yes,Family,Yes,9.65,No,9.6,24,50000
343,2022,Male,20,2020,3,No,Yes,4,2,Offline,Yes,Yes,2,Intermediate,100,Yes,No,No,Programming,1,Software,Single,No,Family,No,7.325,No,7.1,26,30000
344,2021,Male,20,2020,4,Yes,No,5,3,Online,Yes,Yes,1,Intermediate,80,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,7.65,No,7.7,36,7000
345,2022,Female,21,2019,1,Yes,Yes,2,1,Offline,Yes,Yes,7,Advance,100,No,No,Yes,Cyber security,0,Software,Single,No,Family,No,0.0,No,0.0,0,50000
346,2020,Female,21,2018,8,Yes,Yes,0,0,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,4,Software,Single,No,Family,No,9.8,No,9.85,60,50000
347,2021,Male,21,2019,3,No,Yes,2,1,Offline,Yes,Yes,2,Intermediate,98,No,No,No,Web development,1,Software,Single,Yes,Family,No,7.925,No,8.825,25,30000
348,2022,Female,20,2020,1,Yes,Yes,1,1,Offline,Yes,Yes,3,Basic,95,No,No,No,Programming,1,Software,Single,No,Family,No,9.075,No,9.075,11,35000
349,2021,Male,20,2020,3,Yes,No,8,2,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Programming,2,Software,Single,No,Family,No,9.95,No,9.65,23,20000
350,2021,Female,21,2020,4,No,Yes,6,1,Offline,Yes,No,2,Intermediate,97,Yes,No,Yes,Programming,3,Software,Single,Yes,Family,No,8.475,No,7.0,20,40000
351,2021,Female,18,2020,2,Yes,No,2,2,Online,Yes,No,3,Intermediate,90,No,No,No,Programming,1,Software,Engaged,No,Bachelor,Yes,9.200000000000001,No,9.200000000000001,11,40000
352,2022,Male,21,2019,2,Yes,No,5,3,Offline,Yes,Yes,4,Basic,90,Yes,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,9.575,No,9.575,11,20000
353,2020,Male,22,2019,8,No,No,3,1,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,9.1,No,9.350000000000001,87,50000
354,2021,Male,20,2020,3,Yes,Yes,2,1,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Programming,1,Cyber Security,Single,No,Family,No,7.4,No,8.45,25,25000
355,2020,Male,22,2019,6,No,Yes,3,2,Offline,Yes,Yes,1,Intermediate,100,Yes,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,5.625,No,7.875,60,20000
356,2020,Male,19,2020,2,Yes,No,5,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,2,Data Science,Single,Yes,Bachelor,Yes,9.5,No,9.5,11,20000
357,2021,Female,20,2018,3,Yes,Yes,1,2,Online,Yes,Yes,5,Intermediate,90,No,No,Yes,Programming,1,Software,Single,No,Family,No,8.725000000000001,No,8.75,23,30000
358,2021,Male,21,2021,3,Yes,Yes,2,1,Offline,Yes,Yes,2,Intermediate,60,No,No,No,Programming,1,Software,Single,No,Family,No,5.2749999999999995,No,7.5,26,50000
359,2021,Male,20,2020,2,Yes,No,3,1,Offline,Yes,Yes,3,Intermediate,99,Yes,Yes,Yes,Programming,1,Software,Single,No,Family,No,8.55,No,8.55,11,20000
360,2020,Female,23,2019,7,Yes,No,5,2,Offline,Yes,Yes,6,Intermediate,99,No,No,Yes,None,2,NETWORKING,Engaged,Yes,Bachelor,Yes,9.9,No,9.825000000000001,76,12500
361,2018,Male,23,2017,12,No,Yes,7,3,Offline,Yes,Yes,2,Intermediate,90,Yes,No,Yes,Web development,4,Software,Single,No,Bachelor,No,7.1499999999999995,No,8.149999999999999,125,15000
362,2022,Male,21,2020,2,No,No,5,3,Offline,Yes,No,4,Basic,60,Yes,No,Yes,Programming,1,Software,Single,No,Bachelor,No,1.25,No,1.25,11,5000
363,2022,Female,20,2020,1,No,No,5,2,Offline,Yes,Yes,3,Intermediate,98,No,No,Yes,Programming,1,Software,Single,No,Family,No,8.75,No,8.75,0,20000
364,2022,Male,20,2020,2,Yes,No,1,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,1,Software,Single,No,Family,No,6.3,No,6.3,12,50000
365,2021,Male,21,2019,3,No,Yes,4,1,Offline,Yes,Yes,2,Intermediate,98,No,No,No,Programming,3,Others,Single,No,Family,No,9.3,No,9.275,25,60000
366,2019,Female,22,2018,11,Yes,No,5,2,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,Others,1,Hardware,Relationship,Yes,Family,No,7.0,No,8.375,120,68000
367,2020,Female,21,2019,6,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,99,No,No,Yes,Programming,1,Software,Single,No,Family,No,9.95,No,9.975000000000001,58,40000
368,2021,Male,20,2019,3,No,No,4,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Programming,2,Software,Single,No,Bachelor,Yes,9.200000000000001,No,9.025,24,40000
369,2021,Male,21,2019,3,Yes,No,1,1,Offline,Yes,Yes,5,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Family,Yes,7.574999999999999,No,7.35,25,50000
370,2019,Female,22,2017,11,No,No,3,2,Offline,Yes,Yes,4,Intermediate,95,No,No,Yes,Web development,1,Machine Learning,Single,No,Family,Yes,8.35,No,7.95,120,40000
371,2021,Female,21,2020,2,Yes,Yes,8,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Software Development,1,Software,Single,Yes,Family,No,8.475,No,8.475,12,50000
372,2019,Female,23,2018,11,No,Yes,3,2,Offline,Yes,Yes,3,Intermediate,96,No,No,Yes,Web development,2,Software,Single,No,Family,No,9.45,No,8.875,141,18000
373,2019,Male,24,2019,5,No,Yes,2,2,Offline,Yes,Yes,8,Basic,100,Yes,No,Yes,Programming,8,Others,Single,No,Family,No,2.625,No,7.425000000000001,42,62488
374,2021,Female,20,2020,3,No,No,2,3,Offline,Yes,Yes,4,Basic,85,Yes,No,No,Programming,2,NETWORKING,Single,No,Bachelor,No,5.15,No,5.5,23,25000
375,2022,Female,20,2020,2,Yes,No,3,1,Offline,Yes,Yes,3,Basic,95,No,No,No,Programming,2,Software,Single,No,Family,No,9.175,No,9.175,11,45000
376,2021,Female,19,2020,2,No,Yes,5,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Programming,3,Artificial Intelligence,Single,Yes,Family,No,9.45,No,9.45,11,40000
377,2020,Female,20,2019,7,Yes,No,1,1,Online,Yes,Yes,1,Intermediate,75,Yes,No,No,None,1,Machine Learning,Relationship,Yes,Family,Yes,4.074999999999999,No,6.5249999999999995,79,60000
378,2021,Male,21,2020,3,Yes,No,2,1,Offline,Yes,Yes,6,Basic,70,No,No,Yes,Programming,2,UI/UX,Single,Yes,Bachelor,No,7.925,No,8.475,22,40000
379,2021,Female,20,2019,3,No,Yes,2,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,None,3,Data Science,Single,No,Family,Yes,9.549999999999999,No,9.775,23,100000
380,2022,Male,22,2020,2,No,No,2,1,Offline,Yes,No,4,Basic,100,No,No,Yes,None,0,Software,Single,No,Bachelor,No,6.375,No,6.375,11,40000
381,2021,Male,22,2019,3,Yes,Yes,2,3,Online,Yes,Yes,2,Intermediate,92,No,No,Yes,Programming,1,Software,Single,No,Family,No,9.475,No,9.725,23,35000
382,2022,Male,20,2020,1,Yes,No,2,1,Offline,Yes,No,3,Basic,99,No,No,No,Programming,0,Software,Relationship,Yes,Bachelor,No,10.0,No,10.0,10,20000
383,2019,Female,23,2017,11,No,Yes,3,2,Offline,Yes,Yes,2,Intermediate,85,No,No,Yes,Web development,2,Machine Learning,Single,No,Bachelor,No,9.399999999999999,No,9.05,120,33000
384,2020,Male,21,2019,8,Yes,No,5,3,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Web development,2,Machine Learning,Single,Yes,Bachelor,Yes,9.350000000000001,No,9.775,88,15000
385,2022,Male,20,2020,1,Yes,No,1,1,Offline,Yes,Yes,2,Basic,98,No,No,Yes,None,2,Software,Single,Yes,Bachelor,No,0.0,No,0.0,0,20000
386,2022,Male,20,2019,1,Yes,Yes,2,1,Offline,Yes,Yes,1,Basic,99,Yes,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,7.875,No,7.875,13,20000
387,2021,Female,21,2020,3,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,100,No,No,No,Programming,2,Software,Single,No,Family,No,8.45,No,8.0,23,50000
388,2020,Male,22,2018,6,No,No,5,2,Offline,Yes,No,3,Intermediate,90,No,No,Yes,Web development,3,Software,Single,No,Bachelor,No,9.95,No,9.925,58,70000
389,2022,Male,22,2015,2,Yes,No,2,2,Online,Yes,Yes,1,Basic,95,Yes,No,Yes,Programming,1,Software,Single,Yes,Bachelor,Yes,5.25,No,5.25,14,25000
390,2020,Female,21,2019,8,Yes,No,3,1,Offline,Yes,Yes,5,Intermediate,80,Yes,No,No,Web development,1,Data Science,Single,Yes,Bachelor,No,6.800000000000001,No,5.625,62,60000
391,2021,Female,22,2020,3,Yes,Yes,3,1,Offline,No,Yes,3,Advance,98,No,No,Yes,Cyber security,4,Artificial Intelligence,Single,No,Family,Yes,8.25,Yes,8.475,23,50000
392,2021,Male,21,2020,3,Yes,No,4,1,Offline,Yes,Yes,2,Advance,100,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,10.0,No,9.3,23,30000
393,2022,Male,20,2019,2,No,No,2,2,Offline,Yes,Yes,3,Basic,90,No,Yes,Yes,Networking,2,NETWORKING,Single,No,Bachelor,No,7.75,No,7.75,12,20000
394,2021,Female,20,2019,3,Yes,No,1,1,Offline,Yes,Yes,3,Advance,90,Yes,No,Yes,Programming,1,Software,Single,No,Bachelor,No,6.4,No,5.0249999999999995,23,35000
395,2020,Female,20,2020,2,Yes,Yes,2,3,Offline,Yes,Yes,12,Intermediate,80,No,No,No,Others,1,Software,Engaged,Yes,Bachelor,Yes,8.025,No,8.025,12,30000
396,2022,Female,19,2021,1,Yes,Yes,6,2,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Programming,2,Software,Single,No,Family,No,0.0,No,0.0,0,70000
397,2022,Male,19,2020,12,No,No,4,2,Offline,Yes,No,3,Intermediate,75,Yes,No,Yes,Programming,1,Software,Single,Yes,Family,Yes,8.45,No,8.45,14,15000
398,2022,Female,19,2021,1,Yes,No,3,2,Offline,Yes,No,2,Basic,92,No,No,No,Programming,1,Software,Single,No,Family,No,7.875,No,7.875,11,50000
399,2022,Male,21,2020,2,No,No,1,1,Offline,Yes,Yes,4,Basic,95,Yes,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,9.75,No,9.75,11,30000
400,2022,Male,20,2020,2,Yes,Yes,2,1,Offline,Yes,Yes,1,Intermediate,98,No,No,Yes,Programming,1,Software,Single,No,Family,No,9.875,No,9.875,12,50000
401,2022,Female,20,2020,2,Yes,Yes,3,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Programming,1,Artificial Intelligence,Single,No,Family,No,7.574999999999999,No,7.574999999999999,12,90000
402,2018,Female,23,2017,14,No,Yes,7,1,Offline,Yes,Yes,5,Intermediate,60,Yes,No,No,Cyber security,2,Artificial Intelligence,Relationship,Yes,Bachelor,Yes,6.475,No,6.4,133,28000
403,2022,Male,20,2020,1,Yes,No,3,1,Offline,Yes,No,2,Advance,100,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,0.0,No,0.0,0,30000
404,2021,Female,19,2020,3,Yes,Yes,5,2,Offline,Yes,Yes,4,Intermediate,99,No,No,Yes,Programming,3,Software,Single,No,Family,No,8.625,No,8.25,25,25000
405,2022,Male,20,2021,2,No,Yes,1,1,Offline,Yes,No,4,Basic,85,No,No,No,Programming,1,Software,Single,Yes,Family,No,9.0,No,9.0,11,40000
406,2022,Female,20,2020,2,No,No,6,2,Online,Yes,Yes,1,Basic,98,Yes,No,Yes,Web development,5,Software,Single,Yes,Bachelor,No,8.825,No,8.825,11,40000
407,2020,Female,20,2019,8,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,99,No,No,Yes,Programming,1,Machine Learning,Single,Yes,Family,No,9.65,No,9.225,90,50000
408,2022,Female,19,2020,2,No,Yes,3,2,Offline,Yes,Yes,4,Advance,100,No,No,Yes,Programming,2,Artificial Intelligence,Single,Yes,Family,No,8.7,No,6.0,11,25000
409,2021,Male,21,2019,5,No,No,2,1,Online,Yes,Yes,1,Intermediate,98,No,No,No,Programming,6,Software,Single,No,Bachelor,No,9.25,No,9.425,54,62488
410,2022,Female,20,2020,2,No,Yes,3,1,Offline,Yes,Yes,1,Advance,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,9.6,No,9.6,11,50000
411,2020,Female,21,2019,8,No,Yes,6,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,3,Software,Single,No,Family,No,8.5,No,8.225,85,60000
412,2022,Male,19,2020,1,No,No,4,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,1,Artificial Intelligence,Relationship,No,Bachelor,No,8.575000000000001,No,8.575000000000001,14,24000
413,2021,Female,21,2020,2,Yes,No,4,2,Offline,Yes,No,2,Intermediate,100,No,No,Yes,Programming,12,Software,Single,Yes,Bachelor,No,9.25,No,9.25,11,30000
414,2020,Male,22,2019,6,No,Yes,4,3,Offline,Yes,Yes,4,Advance,85,No,No,Yes,Programming,3,Data Science,Relationship,No,Family,No,7.55,No,8.0,70,20000
415,2021,Male,20,2020,3,No,Yes,2,1,Offline,Yes,Yes,3,Basic,90,No,No,No,Web development,2,Software,Single,No,Bachelor,No,8.7,No,7.45,23,20000
416,2022,Male,20,2020,2,Yes,No,3,2,Offline,Yes,Yes,2,Advance,90,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,8.825,No,8.825,13,40000
417,2020,Female,19,2019,8,Yes,Yes,4,1,Offline,Yes,Yes,2,Advance,90,No,No,No,Programming,3,Data Science,Single,No,Bachelor,No,7.65,No,8.525,87,30000
418,2021,Male,20,2020,2,No,No,2,1,Offline,Yes,Yes,3,Basic,100,Yes,No,Yes,Web development,1,Software,Single,No,Bachelor,No,9.75,No,9.75,11,20000
419,2022,Female,20,2018,1,No,No,2,2,Offline,Yes,No,4,Intermediate,95,No,No,Yes,Networking,0,Software,Single,No,Bachelor,Yes,0.0,No,0.0,0,50000
420,2019,Female,20,2019,9,No,Yes,3,3,Offline,Yes,Yes,1,Intermediate,99,No,No,No,Web development,4,Software,Single,Yes,Family,No,7.975,No,8.425,101,40000
421,2022,Female,21,2020,2,No,No,4,2,Online,Yes,Yes,2,Basic,95,Yes,No,Yes,Programming,4,Software,Single,Yes,Bachelor,Yes,0.325,No,0.325,11,30000
422,2022,Female,22,2020,2,Yes,No,4,1,Offline,Yes,Yes,2,Basic,98,No,No,No,Programming,2,Artificial Intelligence,Engaged,No,Bachelor,Yes,7.625,No,7.625,11,20000
423,2022,Female,21,2020,1,No,Yes,3,2,Offline,Yes,Yes,1,Advance,99,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,10.0,No,10.0,11,80000
424,2021,Female,20,2020,2,Yes,No,4,1,Offline,Yes,Yes,3,Intermediate,98,No,No,Yes,Programming,3,Software,Married,Yes,Family,No,9.375,No,9.375,11,60000
425,2021,Male,22,2019,2,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Web development,4,Software,Relationship,No,Bachelor,No,8.325,No,8.325,12,20000
426,2021,Male,20,2020,3,Yes,No,4,1,Online,Yes,Yes,1,Basic,80,Yes,No,Yes,Web development,2,NETWORKING,Single,Yes,Bachelor,No,7.025,Yes,7.025,35,40000
427,2022,Male,21,2019,2,Yes,No,3,3,Offline,Yes,Yes,4,Intermediate,90,Yes,No,Yes,Others,0,Software,Single,Yes,Bachelor,Yes,5.45,No,5.2,11,35000
428,2022,Male,21,2020,1,No,Yes,4,2,Offline,Yes,Yes,1,Intermediate,100,No,No,Yes,Others,2,Software,Single,No,Family,No,0.0,No,0.0,0,30000
429,2020,Male,23,2018,8,No,Yes,0,3,Offline,Yes,No,3,Intermediate,70,No,No,No,Web development,6,Software,Single,No,Family,No,9.25,No,9.375,70,20000
430,2018,Female,24,2016,13,No,No,2,1,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Networking,2,Hardware,Engaged,No,Bachelor,Yes,9.05,No,7.5,140,62488
431,2022,Male,20,2020,3,No,Yes,2,2,Offline,Yes,Yes,3,Basic,87,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,7.95,Yes,7.95,11,35000
432,2022,Female,21,2020,1,Yes,Yes,3,2,Online,Yes,No,8,Basic,98,No,No,No,Programming,1,Software,Single,Yes,Family,Yes,8.875,Yes,8.975,11,100000
433,2020,Male,23,2020,3,Yes,No,4,2,Offline,Yes,Yes,2,Basic,100,No,No,No,Web development,6,Software,Single,Yes,Bachelor,No,8.95,No,9.375,23,15000
434,2022,Male,22,2020,2,Yes,No,2,1,Offline,Yes,Yes,8,Basic,90,No,No,No,Programming,3,Software,Single,No,Bachelor,Yes,9.7,No,9.7,12,10000
435,2022,Male,20,2020,2,Yes,No,2,1,Offline,Yes,Yes,10,Basic,90,No,No,No,Programming,3,Software,Single,No,Bachelor,No,7.5,No,7.5,12,30000
436,2022,Male,20,2020,2,Yes,No,4,2,Offline,Yes,Yes,1,Intermediate,95,No,Yes,Yes,Programming,2,Software,Single,Yes,Bachelor,No,10.0,No,10.0,11,40000
437,2022,Male,22,2016,2,Yes,Yes,2,2,Online,Yes,Yes,1,Basic,80,No,No,Yes,Programming,3,NETWORKING,Relationship,Yes,Family,No,9.925,No,9.925,11,30000
438,2021,Male,22,2020,3,Yes,Yes,3,2,Online,Yes,Yes,1,Intermediate,75,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,9.475,No,9.225,25,100000
439,2019,Male,22,2018,11,No,No,6,2,Offline,Yes,Yes,2,Intermediate,90,Yes,No,Yes,Web development,2,Software,Relationship,No,Bachelor,No,7.4,No,7.2250000000000005,111,50000
440,2021,Male,21,2020,5,Yes,No,5,1,Offline,No,Yes,3,Intermediate,88,No,No,Yes,Web development,3,Software,Single,Yes,Bachelor,Yes,9.425,No,9.65,49,30000
441,2019,Male,25,2017,11,No,No,1,1,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Web development,4,Software,Single,No,Family,No,8.6,No,8.7,124,50000
442,2022,Male,19,2021,1,Yes,No,4,3,Offline,Yes,Yes,3,Advance,100,No,No,Yes,Web development,1,Software,Single,No,Bachelor,Yes,0.0,No,0.0,0,40000
443,2021,Female,21,2019,3,Yes,Yes,2,2,Online,Yes,Yes,2,Intermediate,85,No,No,Yes,Programming,1,Software,Single,No,Family,No,8.9,No,9.15,23,25000
444,2020,Male,19,2019,2,Yes,Yes,3,2,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,8.9,No,8.9,12,40000
445,2021,Female,22,2020,4,Yes,Yes,5,2,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,6.2,No,6.8500000000000005,23,35000
446,2022,Female,20,2020,1,Yes,Yes,0,2,Online,Yes,Yes,3,Basic,97,No,No,No,None,1,Software,Single,No,Family,Yes,0.0,Yes,0.0,0,35000
447,2022,Male,20,2020,2,Yes,Yes,1,1,Online,Yes,Yes,5,Basic,80,Yes,No,No,None,0,Software,Single,No,Family,No,8.125,No,8.0,11,40000
